COUNTRY,CIUDAD,OPS_ZONE,OPS_ZONE_ID,TOTAL_USERS,PRIME_USERS,FOOD_CATEGORY,ORDERS_LAST_4WEEK,GMV_LAST_4WEEK,AVG_TICKET,PEAK_DAY,PEAK_DAY_ORDERS,AVG_CONNECTIVITY_HRS,AVG_GMV_STORE,AVG_ORD_STORE,AVAILABLE_RTS,CANCELLATION_RATE
CO,Cúcuta,Villa del Rosario,380,605,290,Pescados y Mariscos,6,88.65,14.775,Wed,3,12.889611333333,88.65,6.000000,100,0.166667
CO,Ibagué,El Salado,277,407,174,Salchipapas,51,557.15,10.924509804,Fri,11,27.427270500000,557.15,51.000000,100,0.000000
CO,Santa Marta,Rodadero,203,5224,2286,Sushi,120,2391.87,19.93225,Sun,27,45.484822500000,2391.87,120.000000,100,0.025000
CO,Bogotá,Colina,354,106426,56338,Parrilla,8528,161520.3,18.939997655,Sat,1570,26.652591807662,2523.7546875,133.250000,100,0.023569
CO,Bogotá,Antonio Nariño,8,33946,10278,Típica,3440,47989.7,13.950494186,Sun,650,21.916557807917,716.264179104,51.343284,100,0.039535
CO,Barranquilla,Centro y nor occidente,65,27061,13148,Helados,2093,21633.37,10.33605829,Sun,455,35.740387386058,1352.085625,130.812500,100,0.019589
CO,Cúcuta,Cúcuta All,48,19787,4969,Hamburguesa,14290,188561.88,13.195372988,Sat,2617,17.926832299145,2448.855584416,185.584416,100,0.026662
CO,Bello,Bello,100,21209,6279,Hamburguesa,12062,194290.95,16.107689438,Sat,2390,22.596562259121,2490.909615385,154.641026,100,0.021638
CO,Medellín,Laureles_belén,16,95552,42131,Helados,11457,133982.76,11.694401676,Sun,2537,29.561164227365,1835.380273973,156.945205,100,0.025923
CO,Medellín,Laureles_belén,16,95552,42131,Parrilla,5519,112613.61,20.40471281,Sun,1101,21.296717847198,1759.58765625,86.234375,100,0.037326
CO,Medellín,Poblado_guayabal,17,87006,47538,Pollo,27554,459382.7,16.672087537,Sun,5102,46.466864395053,9774.1,586.255319,100,0.037962
CO,Bogotá,Chapinero,4,186242,101753,Internacional,983,24149.51,24.567151577,Sat,209,21.960430117161,1207.4755,49.150000,100,0.026450
CO,Monteria,Centro,136,12923,4474,Helados,1098,9899.01,9.015491803,Sun,261,22.649577619860,824.9175,91.500000,100,0.022769
CO,Bucaramanga,Cacique y Sur,86,18003,7826,Postres,1380,13150.61,9.529427536,Sun,257,28.945960988372,487.05962963,51.111111,100,0.035507
CO,Barranquilla,Riomar,56,39619,23745,Hamburguesa,22834,368929.76,16.157035999,Sun,4847,30.178470912136,8020.212173913,496.391304,100,0.022554
CO,Medellín,Poblado_guayabal,17,87006,47538,Perros Calientes,4268,65726.53,15.399843018,Sun,793,34.706922399520,2527.943461538,164.153846,100,0.037488
CO,Cali,Yumbo,271,962,285,Comida Rápida,7,51.81,7.401428571,Fri,2,6.549583361199,12.9525,1.750000,100,0.000000
CO,Bogotá,Chapinero,4,186242,101753,Asiática,11135,267817.51,24.051864392,Sun,1973,35.475072049632,3772.077605634,156.830986,100,0.029367
CO,Medellín,Sabaneta,18,32219,15867,Sushi,2753,70520.88,25.616011624,Sun,594,49.070641740042,3917.826666667,152.944444,100,0.018888
CO,Medellín,Caribe_centro,23,43602,17109,Parrilla,3512,62954.93,17.92566344,Sun,645,20.212280705739,1187.828867925,66.264151,100,0.040718
CO,Cartagena,Marbella - Crespo,75,6871,3404,Pizza,1253,27985.87,22.33509178,Sun,261,22.499064855224,1865.724666667,83.533333,100,0.063049
CO,Pereira,Pinares Sur,343,20412,6937,Hamburguesa,11860,172826.91,14.572252108,Sat,2349,31.596608605995,3600.560625,247.083333,100,0.024789
CO,Barranquilla,Riomar,56,39619,23745,Típica,3156,51497.84,16.317439797,Sun,732,15.810545411111,2452.278095238,150.285714,100,0.015526
CO,Bucaramanga,Centro y Cabecera,84,31199,12717,Hamburguesa,19678,273476.25,13.897563269,Sun,3547,27.061516226838,3551.63961039,255.558442,100,0.022411
CO,Barranquilla,Miramar y Alamedas,61,56056,30444,Perros Calientes,855,10400.66,12.16451462,Sun,172,20.722901659039,1040.066,85.500000,100,0.030409
CO,Medellín,Laureles_belén,16,95552,42131,China,2353,43246.02,18.379099023,Sun,608,50.491729234503,2276.106315789,123.842105,100,0.016150
CO,Medellín,Envigado,22,41166,22944,Hamburguesa,23235,392745.85,16.903199914,Sun,4368,34.399221213053,4789.583536585,283.353659,100,0.041876
CO,Sincelejo,Sincelejo,200,4516,1280,Jugos y Batidos,357,2744.04,7.686386555,Sun,68,44.853545625000,274.404,35.700000,100,0.022409
CO,Bogotá,Colina,354,106426,56338,Helados,8104,93285.41,11.511032823,Sun,1634,40.593431837296,1636.586140351,142.175439,100,0.028258
CO,Santa Marta,Centro,202,16200,6002,Típica,2623,25878.59,9.866027449,Sun,397,17.417974893812,1232.313809524,124.904762,100,0.035837
CO,Medellín,Poblado_guayabal,17,87006,47538,Italiana,5748,123289.32,21.44908142,Sun,969,38.127768673491,4566.271111111,212.888889,100,0.033403
CO,Bogotá,Usaquén,7,150909,87689,Árabe,6907,141812.5,20.531706964,Thu,1130,47.358160243890,9454.166666667,460.466667,100,0.020125
CO,Bello,Bello,100,21209,6279,Desayunos,1068,15132.8,14.16928839,Sun,224,52.308243901831,945.8,66.750000,100,0.018727
CO,Bogotá,Fontibon,10,44683,17740,Pollo,13344,232978.48,17.459418465,Sat,2477,32.741455439960,5973.807179487,342.153846,100,0.027728
CO,Bogotá,Kennedy,312,44307,13565,Perros Calientes,357,6325.49,17.718459384,Sat,72,22.326535259510,395.343125,22.312500,100,0.075630
CO,Barranquilla,Prado,58,24885,13303,Pizza,2671,54735.96,20.492684388,Sun,525,26.257408100642,1954.855714286,95.392857,100,0.018720
CO,Bucaramanga,Centro y Cabecera,84,31199,12717,Italiana,1541,24718.58,16.040609994,Sun,317,29.778222697917,2059.881666667,128.416667,100,0.012979
CO,Cali,Ingenio Limonar,25,41682,18186,Italiana,1844,32446.82,17.595889371,Sun,354,50.731707134615,3244.682,184.400000,100,0.018438
CO,Cúcuta,Cúcuta All,48,19787,4969,Típica,2711,35408.26,13.060959056,Sun,534,20.648033379630,1220.974482759,93.482759,100,0.030616
CO,Barranquilla,Parque Alegra,280,4694,1658,Postres,785,7610.49,9.69489172,Sun,137,29.137349083333,634.2075,65.416667,100,0.031847
CO,Bucaramanga,Norte,88,6685,3445,Típica,3702,47179.66,12.74437061,Mon,638,23.505426700000,5242.184444444,411.333333,100,0.027283
CO,Palmira,Palmira occidente,240,5547,1701,Saludable,242,2379.94,9.83446281,Thu,48,42.542777642857,396.656666667,40.333333,100,0.012397
CO,Zipaquira,Zipaquira,267,3010,829,Hamburguesa,1299,22511.01,17.329491917,Sun,257,23.034352314815,1250.611666667,72.166667,100,0.040031
CO,Cartagena,Bocagrande,72,12172,6396,Pizza,3104,75190.36,24.223698454,Sun,777,36.005951706952,3269.146086957,134.956522,100,0.031894
CO,Sincelejo,Sincelejo,200,4516,1280,Postres,503,3702.29,7.360417495,Sat,82,19.798766217105,168.285909091,22.863636,100,0.037773
CO,Monteria,Norte,137,8374,3543,Postres,1572,12302.5,7.826017812,Sat,300,32.575934274000,723.676470588,92.470588,100,0.026718
CO,Monteria,Norte,137,8374,3543,Italiana,356,5227.57,14.684185393,Sun,79,19.063762350000,871.261666667,59.333333,100,0.028090
CO,Bucaramanga,Centro y Cabecera,84,31199,12717,Desayunos,2344,27753.36,11.840170648,Sun,524,61.871081777778,925.112,78.133333,100,0.014505
CO,Medellín,Itagui_y_la_estrella,21,23582,11701,China,860,15651.14,18.199,Sun,240,60.863906044444,1956.3925,107.500000,100,0.011628
CO,Cali,Ingenio Limonar,25,41682,18186,Mexicana,3223,52611.06,16.323630158,Sun,653,32.600541847509,2104.4424,128.920000,100,0.011170
CO,Duitama,Duitama,219,1352,343,Alitas,93,1408.48,15.144946237,Sun,23,51.117805666667,469.493333333,31.000000,100,0.043011
CO,Bogotá,Suba,6,28101,10035,Saludable,347,3760.67,10.837665706,Sun,70,25.614538210787,235.041875,21.687500,100,0.031700
CO,Manizales,Zona Villapilar,41,9736,3108,Pizza,255,4989.25,19.565686275,Sun,54,10.212509800000,997.85,51.000000,100,0.007843
CO,Neiva,Neiva Centro,216,8456,2409,Sushi,495,9175.53,18.536424242,Sat,104,27.954474714286,834.139090909,45.000000,100,0.032323
CO,Bogotá,Colina,354,106426,56338,Jugos y Batidos,2639,32599.6,12.353012505,Sat,486,36.688150885173,1552.361904762,125.666667,100,0.023115
CO,Cartagena,Manga,318,17501,8014,Helados,636,6588.29,10.358946541,Sun,118,46.862036796875,549.024166667,53.000000,100,0.044025
CO,Santa Marta,Troncal,342,10414,3936,Parrilla,1411,20378.17,14.442360028,Sun,289,14.592343572751,1455.583571429,100.785714,100,0.035436
CO,Monteria,Norte,137,8374,3543,Pollo,1651,23220.02,14.064215627,Sun,363,50.913233250000,7740.006666667,550.333333,100,0.014537
CO,Bogotá,Candelaria,11,33321,14501,Alitas,827,17179.07,20.772756953,Fri,156,29.900339734494,1321.466923077,63.615385,100,0.038694
CO,Neiva,Neiva Centro,216,8456,2409,Hamburguesa,3653,49001.44,13.414026827,Sun,604,19.582224251367,1633.381333333,121.766667,100,0.022995
CO,Yopal,Yopal,222,2297,792,Hamburguesa,2165,29194.28,13.484655889,Sun,399,26.294016280000,1824.6425,135.312500,100,0.017552
CO,Bogotá,Usaquén,7,150909,87689,Peruana,2133,48583.32,22.776990155,Sun,405,33.198410537718,3470.237142857,152.357143,100,0.011252
CO,Pereira,Cerritos,95,3937,1792,Panadería,135,1594.3,11.80962963,Tue,24,20.149396600000,318.86,27.000000,100,0.029630
CO,Palmira,Palmira occidente,240,5547,1701,Comida Rápida,117,806.62,6.894188034,Fri,30,8.959402870968,47.448235294,6.882353,100,0.145299
CO,Bogotá,Bosa,3,10790,2671,Parrilla,462,9382.39,20.308203463,Sun,115,15.931510263698,390.932916667,19.250000,100,0.056277
CO,Valledupar,San Jorge,135,3627,1401,Alitas,62,650.66,10.494516129,Sun,17,13.130824875000,216.886666667,20.666667,100,0.080645
CO,Pereira,Pinares_Dosquebradas,35,10361,3673,Hamburguesa,3324,46303.54,13.930066185,Sun,625,14.630461219933,1852.1416,132.960000,100,0.025872
CO,Mosquera/ Funza,Mosquera - Funza,164,8952,2071,Saludable,97,1108.48,11.427628866,Wed,23,15.347875800000,184.746666667,16.166667,100,0.072165
CO,Bogotá,Candelaria,11,33321,14501,Panadería,252,2597.45,10.30734127,Sun,55,30.696482328125,288.605555556,28.000000,100,0.055556
CO,Ibagué,Guabinal,49,19680,5878,Italiana,351,4174.35,11.892735043,Sun,96,22.511007875000,695.725,58.500000,100,0.017094
CO,Armenia,Centro,102,10389,4193,Empanadas,119,1503.53,12.634705882,Fri,28,28.013492708333,300.706,23.800000,100,0.016807
CO,Bogotá,Suba,6,28101,10035,Helados,2376,24266.86,10.213324916,Sun,568,35.342996799148,1011.119166667,99.000000,100,0.024832
CO,Medellín,Envigado,22,41166,22944,Salchipapas,459,6909.91,15.054270153,Sat,93,21.468946638889,1151.651666667,76.500000,100,0.026144
CO,Cali,Alfaguara Jamundi,168,5670,2050,Italiana,147,2880.06,19.592244898,Sat,33,45.473169900000,576.012,29.400000,100,0.027211
CO,Cartagena,Centro Historico,73,4514,2291,Sushi,143,5330.07,37.273216783,Thu,27,23.741542063301,1332.5175,35.750000,100,0.020979
CO,Cartagena,Manga,318,17501,8014,Típica,1404,20073.42,14.297307692,Sun,332,31.751895583333,1056.495789474,73.894737,100,0.027778
CO,Tulua,Tulua,220,2975,754,Sánduches,752,9423.26,12.530930851,Sun,140,53.023491933190,1047.028888889,83.555556,100,0.038564
CO,Ibagué,Guabinal,49,19680,5878,Saludable,819,11713.31,14.301965812,Sun,136,34.778926047619,836.665,58.500000,100,0.026862
CO,Manizales,Zona La Enea,38,3739,1715,Asiática,190,4024.63,21.182263158,Fri,42,46.638501812500,1006.1575,47.500000,100,0.000000
CO,Barranquilla,Prado,58,24885,13303,Comida Rápida,501,5852.14,11.680918164,Sun,104,18.020750720513,266.006363636,22.772727,100,0.027944
CO,Chía,Chia,14,15287,6070,Sushi,851,20979.27,24.652491187,Fri,164,33.206818300000,1748.2725,70.916667,100,0.032902
CO,Cali,Ingenio Limonar,25,41682,18186,Parrilla,4751,88353.32,18.596783835,Sat,1021,30.594676420464,1879.85787234,101.085106,100,0.016207
CO,Valledupar,El viajero,128,7185,3198,Pollo,822,7699.85,9.367214112,Sun,171,38.637952416667,1539.97,164.400000,100,0.040146
CO,Bogotá,Engativa,9,57519,22705,Alitas,1105,20959.7,18.968054299,Fri,207,33.002153074404,952.713636364,50.227273,100,0.041629
CO,Bucaramanga,Centro y Cabecera,84,31199,12717,Alitas,631,11043.1,17.500950872,Tue,115,43.671125716667,1104.31,63.100000,100,0.014263
CO,Medellín,Laureles_belén,16,95552,42131,Peruana,1269,35723.59,28.150977147,Sat,245,24.285712371836,3572.359,126.900000,100,0.048069
CO,Tulua,Tulua,220,2975,754,Pollo,1923,27499.2,14.300156006,Sun,482,65.741400187500,6874.8,480.750000,100,0.026001
CO,Pereira,Pinares_Dosquebradas,35,10361,3673,Panadería,632,6029.17,9.539825949,Sun,114,35.421115166667,861.31,90.285714,100,0.023734
CO,Bogotá,Candelaria,11,33321,14501,Internacional,79,1679.77,21.262911392,Sat,16,32.381836233333,167.977,7.900000,100,0.037975
CO,Sogamoso,Sogamoso Sur,272,1005,263,Hamburguesa,292,3989.7,13.663356164,Mon,58,23.171304750000,797.94,58.400000,100,0.034247
CO,Manizales,Zona Villapilar,41,9736,3108,Hamburguesa,3796,51575.43,13.586783456,Sun,732,16.635803466201,3683.959285714,271.142857,100,0.017914
CO,Medellín,Itagui_y_la_estrella,21,23582,11701,Jugos y Batidos,737,8390.77,11.385033921,Thu,122,32.167353300000,599.340714286,52.642857,100,0.062415
CO,Pereira,Los molinos,34,7163,2897,Típica,486,4402.87,9.059403292,Sun,120,13.629107518174,628.981428571,69.428571,100,0.059671
CO,Popayan,Popayan Norte,212,3436,1128,Salchipapas,726,7415.33,10.213953168,Sun,153,21.486150500000,1853.8325,181.500000,100,0.011019
CO,Cali,Cali Norte,28,37559,15489,Alitas,1472,31237.51,21.221134511,Sun,323,35.634347678764,2839.773636364,133.818182,100,0.019022
CO,Medellín,Itagui_y_la_estrella,21,23582,11701,Típica,2166,28428.08,13.124690674,Mon,343,19.742701929605,789.668888889,60.166667,100,0.027701
CO,Popayan,Popayan Norte,212,3436,1128,Postres,638,5455.47,8.550893417,Sun,142,34.092119833333,779.352857143,91.142857,100,0.034483
CO,Medellín,Itagui_y_la_estrella,21,23582,11701,Postres,1544,18425.66,11.933717617,Sun,278,23.016664496429,575.801875,48.250000,100,0.049870
CO,Bello,Bello,100,21209,6279,Panadería,816,8033.41,9.844865196,Sun,156,31.371187400000,573.815,58.285714,100,0.062500
CO,Cúcuta,Cúcuta All,48,19787,4969,Asiática,744,10266.66,13.799274194,Sun,185,23.206544611111,2053.332,148.800000,100,0.016129
CO,Barranquilla,Miramar y Alamedas,61,56056,30444,Mexicana,3080,48659.75,15.79862013,Sun,587,46.444959737147,1946.39,123.200000,100,0.014935
CO,Palmira,Palmira oriente,24,3867,1287,Arepas,67,703.36,10.497910448,Mon,18,14.765172000000,234.453333333,22.333333,100,0.059701
CO,Cúcuta,Cúcuta All,48,19787,4969,Mexicana,842,12639.2,15.010926366,Sun,146,26.435814855769,789.95,52.625000,100,0.022565
CO,Bogotá,Fontibon,10,44683,17740,Arepas,151,1586.49,10.506556291,Mon,31,11.232239931829,317.298,30.200000,100,0.052980
CO,Fusagasugá,Fusagasuga,198,1294,427,Pizza,197,2666.23,13.534162437,Sat,37,18.593038150000,666.5575,49.250000,100,0.035533
CO,Villavicencio,Villavo sur,208,13632,4669,Saludable,143,1835.24,12.833846154,Mon,29,27.355934545743,367.048,28.600000,100,0.027972
CO,Barranquilla,Miramar y Alamedas,61,56056,30444,Pescados y Mariscos,1319,26406.21,20.019871114,Sun,321,33.166142252984,2400.564545455,119.909091,100,0.018196
CO,Neiva,Neiva Centro,216,8456,2409,Jugos y Batidos,290,2309.16,7.96262069,Mon,53,23.580354583333,256.573333333,32.222222,100,0.013793
CO,Neiva,Neiva Centro,216,8456,2409,Perros Calientes,531,4960.91,9.342580038,Sun,85,31.785980791549,992.182,106.200000,100,0.039548
CO,Popayan,Popayan Centro,213,8893,2456,Sánduches,1327,18143.3,13.67241899,Sat,246,37.447744000000,2267.9125,165.875000,100,0.021100
CO,Cali,Puerta del Sol,276,2054,825,Helados,63,442.82,7.028888889,Sun,16,10.594070692297,44.282,6.300000,100,0.126984
CO,Medellín,Envigado,22,41166,22944,Desayunos,2451,42415.13,17.305234598,Sun,598,55.119813200368,1631.351153846,94.269231,100,0.015096
CO,Cali,Cali Norte,28,37559,15489,Parrilla,3576,69995.16,19.573590604,Sun,656,31.345420501077,2333.172,119.200000,100,0.013423
CO,Cartagena,Bocagrande,72,12172,6396,Sushi,2033,53965.02,26.544525332,Sun,516,34.448885447225,5996.113333333,225.888889,100,0.025578
CO,Bello,Bello,100,21209,6279,Mexicana,1103,19226.17,17.430797824,Sat,227,28.843325278303,1281.744666667,73.533333,100,0.025385
CO,Medellín,Envigado,22,41166,22944,Parrilla,1682,38933.35,23.147057075,Sat,354,26.369697783685,1390.476785714,60.071429,100,0.052913
CO,Barranquilla,Riomar,56,39619,23745,Pescados y Mariscos,288,8953.97,31.090173611,Sun,77,23.719070250000,2984.656666667,96.000000,100,0.020833
CO,Pereira,Pinares Sur,343,20412,6937,Saludable,3193,43080.28,13.492101472,Thu,502,53.584190636789,1595.565925926,118.259259,100,0.013467
CO,Bogotá,Bosa,3,10790,2671,Italiana,45,730.75,16.238888889,Sat,10,18.802444850000,243.583333333,15.000000,100,0.088889
CO,Monteria,Centro,136,12923,4474,Jugos y Batidos,659,4995.82,7.58091047,Wed,115,18.998571436364,555.091111111,73.222222,100,0.024279
CO,Armenia,Centro,102,10389,4193,Sushi,532,10426.13,19.597988722,Sat,99,23.613759153846,1303.26625,66.500000,100,0.030075
CO,Barranquilla,Centro y nor occidente,65,27061,13148,Sushi,246,3903.48,15.867804878,Sun,59,25.661326900000,650.58,41.000000,100,0.028455
CO,Cali,Pance y ciudad jardin,31,28252,13676,Perros Calientes,1620,30836.25,19.034722222,Sun,310,39.325012807096,3083.625,162.000000,100,0.017284
CO,Medellín,Caribe_centro,23,43602,17109,Internacional,67,883.2,13.182089552,Sat,17,19.603867678571,294.4,22.333333,100,0.104478
CO,Cúcuta,Cúcuta All,48,19787,4969,Arepas,416,3174.7,7.631490385,Sun,68,9.607336466667,793.675,104.000000,100,0.024038
CO,Girardot,Girardot,196,2396,757,Pizza,344,5843.17,16.985959302,Sat,86,30.276548173118,531.197272727,31.272727,100,0.063953
CO,Bogotá,Salitre,5,46619,21220,Jugos y Batidos,1172,14802.69,12.63028157,Thu,207,31.531493783333,870.746470588,68.941176,100,0.029863
CO,Bogotá,Colina,354,106426,56338,India,27,554.7,20.544444444,Fri,8,31.000000000000,554.7,27.000000,100,0.037037
CO,Mosquera/ Funza,Mosquera - Funza,164,8952,2071,Italiana,341,7217.42,21.165454545,Sun,80,22.719671571429,2405.806666667,113.666667,100,0.020528
CO,Bogotá,Tunjuelito,258,4316,1278,Parrilla,244,3296.72,13.511147541,Sat,65,20.463792923077,549.453333333,40.666667,100,0.024590
CO,Cali,Zona unico oriente,26,20663,7031,Sánduches,4767,68278.17,14.323089994,Sun,845,42.608924170715,4267.385625,297.937500,100,0.018250
CO,Mosquera/ Funza,Mosquera - Funza,164,8952,2071,Helados,1461,15951.27,10.918049281,Sun,377,27.979788750000,1595.127,146.100000,100,0.026694
CO,Bogotá,Fontibon,10,44683,17740,Empanadas,471,5599.63,11.88881104,Thu,86,31.772950241071,349.976875,29.437500,100,0.059448
CO,Bogotá,Fontibon,10,44683,17740,China,1787,34027.18,19.041510912,Sun,393,42.149605352941,2835.598333333,148.916667,100,0.015109
CO,Palmira,Palmira occidente,240,5547,1701,Asiática,1071,16428.04,15.338972923,Sun,259,32.346444214286,3285.608,214.200000,100,0.008403
CO,Bogotá,Fontibon,10,44683,17740,Árabe,2,28.03,14.015,Fri,1,12.551841000000,28.03,2.000000,100,0.000000
CO,Zipaquira,Zipaquira,267,3010,829,Café,197,1937.41,9.834568528,Thu,37,48.328935000000,387.482,39.400000,100,0.025381
CO,Ibagué,Centro Ricaurte,50,7394,2430,Comida Rápida,77,612.48,7.954285714,Wed,21,7.455646750000,76.56,9.625000,100,0.142857
CO,Soacha,Soacha,194,7503,1561,Helados,973,10236.26,10.520308325,Sun,165,31.721974944444,787.404615385,74.846154,100,0.055498
CO,Cartagena,Bocagrande,72,12172,6396,Postres,2513,48008.46,19.104042977,Sun,537,38.261105413043,3429.175714286,179.500000,100,0.034620
CO,Bogotá,Tunjuelito,258,4316,1278,Mexicana,7,55.09,7.87,Sat,3,8.366530000000,27.545,3.500000,100,0.142857
CO,San Gil,San Gil,160,72,19,Salchipapas,3,33.28,11.093333333,Mon,1,20.794121918881,33.28,3.000000,100,0.000000
CO,Barranquilla,Villa Campestre,62,5542,3358,Hamburguesa,1263,24804.21,19.63912114,Sun,326,20.920544039130,4960.842,252.600000,100,0.019002
CO,Bogotá,Suba,6,28101,10035,Jugos y Batidos,424,4793.69,11.305872642,Sun,86,17.239756178571,798.948333333,70.666667,100,0.063679
CO,Bucaramanga,Cacique y Sur,86,18003,7826,Comida Rápida,891,8527.59,9.570808081,Thu,155,21.517970330778,387.617727273,40.500000,100,0.048260
CO,Cali,Pance y ciudad jardin,31,28252,13676,Sushi,1598,42968.7,26.889048811,Sun,364,41.138244738095,2685.54375,99.875000,100,0.025657
CO,Pereira,Los molinos,34,7163,2897,Pollo,4688,62178.9,13.263417235,Sun,879,36.874751237546,12435.78,937.600000,100,0.026237
CO,Pasto,Pasto Villas del norte,114,7405,1863,Perros Calientes,546,5459.82,9.99967033,Sun,95,26.975198736718,1819.94,182.000000,100,0.016484
CO,Cali,Pance y ciudad jardin,31,28252,13676,Saludable,3840,56770.05,14.783867188,Sat,654,51.438257171053,3548.128125,240.000000,100,0.007292
CO,Cali,Pance y ciudad jardin,31,28252,13676,Alitas,1461,40323.01,27.599596167,Sun,338,37.775023318182,5760.43,208.714286,100,0.006845
CO,Monteria,Norte,137,8374,3543,Mexicana,561,7775.94,13.860855615,Sun,117,17.422508717857,1110.848571429,80.142857,100,0.012478
CO,Mosquera/ Funza,Madrid,192,3028,807,Sánduches,421,7589.76,18.027933492,Sun,83,68.940447250000,3794.88,210.500000,100,0.026128
CO,Armenia,Armenia Sur,204,12174,4229,Mexicana,265,4087.28,15.423698113,Sat,51,25.104555363636,583.897142857,37.857143,100,0.049057
CO,Pereira,Pinares Sur,343,20412,6937,Italiana,230,4917.92,21.38226087,Sat,54,16.576690875000,1639.306666667,76.666667,100,0.017391
CO,Villavicencio,Villavo sur,208,13632,4669,Café,56,484.04,8.643571429,Sun,20,26.917710500000,242.02,28.000000,100,0.035714
CO,Bucaramanga,Cacique y Sur,86,18003,7826,Típica,485,7007.47,14.448391753,Sun,134,18.213654226481,700.747,48.500000,100,0.024742
CO,Bogotá,Candelaria,11,33321,14501,Peruana,101,2101.52,20.807128713,Sat,23,31.018161750000,525.38,25.250000,100,0.089109
CO,Medellín,Poblado_guayabal,17,87006,47538,India,796,25256.23,31.728932161,Sun,156,40.080587312500,5051.246,159.200000,100,0.045226
CO,Bogotá,Antonio Nariño,8,33946,10278,Pescados y Mariscos,378,5941.22,15.717513228,Sun,109,28.184823592129,594.122,37.800000,100,0.026455
CO,Bogotá,Tunjuelito,258,4316,1278,Pescados y Mariscos,117,1979.27,16.916837607,Sun,39,34.049924416667,989.635,58.500000,100,0.025641
CO,Popayan,Popayan Norte,212,3436,1128,Hamburguesa,780,11933.49,15.299346154,Sun,178,21.149362294500,1704.784285714,111.428571,100,0.026923
CO,Cali,Cali Norte,28,37559,15489,Vegetariana,26,321.16,12.352307692,Sun,6,75.659198477610,107.053333333,8.666667,100,0.076923
CO,Pereira,Pinares_Dosquebradas,35,10361,3673,Alitas,312,4526.51,14.508044872,Sun,69,22.686683822222,754.418333333,52.000000,100,0.051282
CO,Tunja,Tunja,199,10964,2746,Jugos y Batidos,380,3571.15,9.397763158,Sun,72,28.232343343750,892.7875,95.000000,100,0.018421
CO,Cartagena,Centro Historico,73,4514,2291,Hamburguesa,494,8421.67,17.04791498,Sat,132,19.597466527704,1203.095714286,70.571429,100,0.028340
CO,Cúcuta,Cúcuta All,48,19787,4969,Sushi,369,7513.86,20.362764228,Sat,91,18.777645100000,1502.772,73.800000,100,0.018970
